Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment
"U3"	,"RY8411"	,"SOT-23-6_L2.9-W1.6-P0.95-LS2.8-TL"	,"19.172mm"	,"-25.4mm"	,"19.172mm"	,"-25.4mm"	,"20.32mm"	,"-24.45mm"	,"6"	,"B"	,"180"	,"Yes"	,"RY8411"	,
"U2"	,"SK6019AD4-33"	,"XDFN-4_L1.0-W1.0-P0.65-BL-EP"	,"22.479mm"	,"-11.684mm"	,"22.479mm"	,"-11.684mm"	,"22.954mm"	,"-11.359mm"	,"5"	,"B"	,"270"	,"Yes"	,"SK6019AD4-33"	,
"L2"	,"MCS0420-4R7MPN2"	,"IND-SMD_L4.5-W4.0-1"	,"19.812mm"	,"-18.979mm"	,"19.812mm"	,"-18.979mm"	,"19.812mm"	,"-20.828mm"	,"2"	,"B"	,"90"	,"Yes"	,"MCS0420-4R7MPN2_4.7uH"	,
"R11"	,"RMC06037.68K1%N"	,"R0603"	,"23.377mm"	,"-26.416mm"	,"23.377mm"	,"-26.416mm"	,"24.13mm"	,"-26.416mm"	,"2"	,"B"	,"180"	,"Yes"	,"RMC06037.68K1%N_7.68kΩ"	,
"R10"	,"TC0325B4022T5E"	,"R0603"	,"22.606mm"	,"-23.876mm"	,"22.606mm"	,"-23.876mm"	,"22.606mm"	,"-24.629mm"	,"2"	,"B"	,"90"	,"Yes"	,"TC0325B4022T5E_40.2kΩ"	,
"C23"	,"GCM1885C2A220JA16D"	,"C0603"	,"24.257mm"	,"-23.876mm"	,"24.257mm"	,"-23.876mm"	,"24.257mm"	,"-23.176mm"	,"2"	,"B"	,"270"	,"Yes"	,"GCM1885C2A220JA16D_22pF"	,
"Q1"	,"WSD3066DN33"	,"DFN-8_L3.3-W3.3-P0.65-BL"	,"12.718mm"	,"-32.256mm"	,"12.718mm"	,"-32.256mm"	,"13.497mm"	,"-31.281mm"	,"5"	,"B"	,"270"	,"Yes"	,"WSD3066DN33"	,
"C2"	,"CL10B104KC8NNNC"	,"C0603"	,"5.588mm"	,"-34.544mm"	,"5.588mm"	,"-34.544mm"	,"6.288mm"	,"-34.544mm"	,"2"	,"B"	,"180"	,"Yes"	,"CL10B104KC8NNNC_100nF"	,
"R1"	,"AR03BTD1002"	,"R0603"	,"5.579mm"	,"-36.322mm"	,"5.579mm"	,"-36.322mm"	,"6.333mm"	,"-36.322mm"	,"2"	,"B"	,"180"	,"Yes"	,"AR03BTD1002_10kΩ"	,
"D2"	,"ZMM9V1"	,"LL-34_L3.5-W1.5-RD"	,"12.065mm"	,"-34.925mm"	,"12.065mm"	,"-34.925mm"	,"13.764mm"	,"-34.925mm"	,"2"	,"B"	,"180"	,"Yes"	,"ZMM9V1"	,
"C15"	,"CL10B104KC8NNNC"	,"C0603"	,"19.304mm"	,"-22.733mm"	,"19.304mm"	,"-22.733mm"	,"20.004mm"	,"-22.733mm"	,"2"	,"B"	,"180"	,"Yes"	,"CL10B104KC8NNNC_100nF"	,
